source,target
想 起 这 个 妹 妹 时 他 母 亲 是 头 乌 青 的 头 发 他 多 愿 意 摘 朵 红 花 给 母 亲 戴 上 可 是 他 从 来 没 见 过 母 亲 戴 过 朵 花 就 是 这 朵 没 有 戴 上 的 花 决 定 了 他 的 命 运,xia3ng qi3 zhe4 ge4 me4i me4i shi2 ta1 mu3 qi1n shi4 to2u wu1 qi1ng de to2u fa1 ta1 duo1 yua4n yi4 zha1i duo3 ho2ng hua1 ge3i mu3 qi1n da4i sha4ng ke3 shi4 ta1 co2ng la2i me2i jia4n guo4 mu3 qi1n da4i guo4 duo3 hua1 jiu4 shi4 zhe4 duo3 me2i yo3u da4i sha4ng de hua1 jue2 di4ng le ta1 de mi4ng yu4n
母 亲 呀 我 没 有 看 见 你 的 老,mu3 qi1n ya wo3 me2i yo3u ka4n jia4n ni3 de la3o
于 是 他 的 母 亲 有 副 年 轻 的 眉 眼 而 戴 了 头 白 发 多 少 年 来 这 头 白 发 在 他 心 里 亮,yu2 shi4 ta1 de mu3 qi1n yo3u fu4 nia2n qi1ng de me2i ya3n e2r da4i le to2u ba2i fa1 duo1 sha3o nia2n la2i zhe4 to2u ba2i fa1 za4i ta1 xi1n li3 lia4ng
他 真 愿 意 有 那 么 个 妹 妹,ta1 zhe1n yua4n yi4 yo3u na4 me ge4 me4i me4i
可 是 他 没 有 妹 妹 他 没 有,ke3 shi4 ta1 me2i yo3u me4i me4i ta1 me2i yo3u
他 的 现 在 母 亲 的 过 去 母 亲 在 时 间 里 停 留 她 还 是 那 样 年 轻 就 像 那 个 摘 花 的 小 姑 娘 像 他 的 妹 妹 他 可 是 老 多 了 他 的 脸 上 刻 了 很 多 岁 月,ta1 de xia4n za4i mu3 qi1n de guo4 qu4 mu3 qi1n za4i shi2 jia1n li3 ti2ng liu2 ta1 ha2i shi4 na4 ya4ng nia2n qi1ng jiu4 xia4ng na4 ge4 zha1i hua1 de xia3o gu1 nia2ng xia4ng ta1 de me4i me4i ta1 ke3 shi4 la3o duo1 le ta1 de lia3n sha4ng ke4 le he3n duo1 sui4 yue4
他 在 相 似 的 风 景 里 做 了 不 同 的 人 物 风 景 不 殊 他 改 变 风 景 多 少 现 在 他 在 山 上 在 许 多 山 里 的 座 小 庙 里 许 多 小 庙 里 的 个 小 小 的 禅 房 里,ta1 za4i xia1ng shi4 de fe1ng ji3ng li3 zuo4 le bu4 to2ng de re2n wu4 fe1ng ji3ng bu4 shu1 ta1 ga3i bia4n fe1ng ji3ng duo1 sha3o xia4n za4i ta1 za4i sha1n sha4ng za4i xu3 duo1 sha1n li3 de zuo4 xia3o mia4o li3 xu3 duo1 xia3o mia4o li3 de ge4 xia3o xia3o de cha2n fa2ng li3
多 少 日 子 以 来 他 向 上 又 向 上 升 高 降 低 点 又 升 得 更 高 他 爬 的 山 太 多 了 山 越 来 越 高 山 头 和 山 头 挤 得 越 来 越 紧 路 越 来 越 小 也 越 来 越 模 糊 他 仿 佛 看 到 自 己 个 小 小 的 人 向 前 倾 侧 着 身 体 步 步 在 苍 青 赭 赤 之 间 的 条 微 微 的 白 道 上 走 低 头 又 抬 头 看 看 天 又 看 看 路 路 像 条 长 线 无 穷 无 尽 地 向 前 面 画 过 去 云 过 来 他 在 影 子 里 云 过 去 他 亮 了 他 的 衣 裙 上 沾 了 蒲 公 英 的 绒 絮 他 带 它 们 到 远 方 去 有 时 开 眼 只 鹰 横 掠 过 他 的 视 野 山 把 所 有 的 变 化 都 留 在 身 上 于 是 显 得 亘 古 不 变 他 想 山 呀 你 们 走 得 越 来 越 快 我 可 是 只 能 个 劲 地 这 样 走 及 至 走 进 那 个 村 子 他 向 上 看 决 定 上 山 借 宿 宵 明 天 该 折 回 去 了 这 是 条 线 的 尽 头 了 再 往 前 没 有 路 了,duo1 sha3o ri4 zi yi3 la2i ta1 xia4ng sha4ng yo4u xia4ng sha4ng she1ng ga1o jia4ng di1 dia3n yo4u she1ng de2 ge4ng ga1o ta1 pa2 de sha1n ta4i duo1 le sha1n yue4 la2i yue4 ga1o sha1n to2u he2 sha1n to2u ji3 de2 yue4 la2i yue4 ji3n lu4 yue4 la2i yue4 xia3o ye3 yue4 la2i yue4 mo2 hu2 ta1 fa3ng fu2 ka4n da4o zi4 ji3 ge4 xia3o xia3o de re2n xia4ng qia2n qi1ng ce4 zhe she1n ti3 bu4 bu4 za4i ca1ng qi1ng zhe3 chi4 zhi1 jia1n de tia2o we1i we1i de ba2i da4o sha4ng zo3u di1 to2u yo4u ta2i to2u ka4n ka4n tia1n yo4u ka4n ka4n lu4 lu4 xia4ng tia2o zha3ng xia4n wu2 qio2ng wu2 ji3n de xia4ng qia2n mia4n hua4 guo4 qu4 yu2n guo4 la2i ta1 za4i yi3ng zi li3 yu2n guo4 qu4 ta1 lia4ng le ta1 de yi1 qu2n sha4ng zha1n le pu2 go1ng yi1ng de ro2ng xu4 ta1 da4i ta1 men da4o yua3n fa1ng qu4 yo3u shi2 ka1i ya3n zhi3 yi1ng he2ng lve4 guo4 ta1 de shi4 ye3 sha1n ba3 suo3 yo3u de bia4n hua4 do1u liu2 za4i she1n sha4ng yu2 shi4 xia3n de2 ge4n gu3 bu4 bia4n ta1 xia3ng sha1n ya ni3 men zo3u de2 yue4 la2i yue4 kua4i wo3 ke3 shi4 zhi3 ne2ng ge4 ji4n de zhe4 ya4ng zo3u ji2 zhi4 zo3u ji4n na4 ge4 cu1n zi ta1 xia4ng sha4ng ka4n jue2 di4ng sha4ng sha1n jie4 su4 xia1o mi2ng tia1n ga1i zhe2 hui2 qu4 le zhe4 shi4 tia2o xia4n de ji3n to2u le za4i wa3ng qia2n me2i yo3u lu4 le
他 阖 了 会 眼 他 几 乎 睡 着 了 几 乎 做 了 个 梦 青 苔 的 气 味 干 草 的 气 味 风 化 的 石 头 在 他 的 身 下 酥 裂 发 出 声 音 且 发 出 气 味 小 草 的 叶 子 窸 窣 弹 了 下 蹦 出 了 个 蚱 蜢 从 很 远 的 地 方 飘 来 根 鸟 毛 近 了 更 近 了 终 于 为 根 枸 杞 截 住 他 断 定 这 是 根 黑 色 的 块 卵 石 从 山 顶 上 滚 下 去 滚 下 去 滚 下 去 落 进 山 下 的 深 潭 里 从 极 低 的 地 方 传 来 声 牛 鸣 反 刍 的 声 音 牛 的 下 巴 磨 动 淡 红 色 的 舌 头 升 上 来 为 阵 风 卷 走 了 虫 蛀 着 老 楝 树 片 叶 子 尝 到 了 苦 味 它 打 了 个 寒 噤 个 松 球 裂 开 了 寒 气 伸 入 了 鳞 瓣 鱼 呀 活 在 多 高 的 水 里 你 还 是 不 睡 再 见 青 苔 的 阴 湿 再 见 干 草 的 松 软 再 见 你 硌 在 胛 骨 下 抵 出 块 酸 的 石 头 老 和 尚 敲 磐 现 在 旅 行 人 要 睡 了 放 松 他 的 眉 头 散 开 嘴 边 的 纹 解 开 脸 上 的 结 让 肩 膊 平 摊 腿 脚 舒 展,ta1 he2 le hui4 ya3n ta1 ji3 hu1 shui4 zhe le ji3 hu1 zuo4 le ge4 me4ng qi1ng ta2i de qi4 we4i ga4n ca3o de qi4 we4i fe1ng hua4 de shi2 to2u za4i ta1 de she1n xia4 su1 lie4 fa1 chu1 she1ng yi1n qie3 fa1 chu1 qi4 we4i xia3o ca3o de ye4 zi xi1 su1 da4n le xia4 be4ng chu1 le ge4 zha4 me3ng co2ng he3n yua3n de de fa1ng pia1o la2i ge1n nia3o ma2o ji4n le ge4ng ji4n le zho1ng yu2 we4i ge1n go3u qi3 jie2 zhu4 ta1 dua4n di4ng zhe4 shi4 ge1n he1i se4 de kua4i lua3n shi2 co2ng sha1n di3ng sha4ng gu3n xia4 qu4 gu3n xia4 qu4 gu3n xia4 qu4 luo4 ji4n sha1n xia4 de she1n ta2n li3 co2ng ji2 di1 de de fa1ng chua2n la2i she1ng niu2 mi2ng fa3n chu2 de she1ng yi1n niu2 de xia4 ba1 mo2 do4ng da4n ho2ng se4 de she2 to2u she1ng sha4ng la2i we4i zhe4n fe1ng jua3n zo3u le cho2ng zhu4 zhe la3o lia4n shu4 pia4n ye4 zi cha2ng da4o le ku3 we4i ta1 da3 le ge4 ha2n ji4n ge4 so1ng qiu2 lie4 ka1i le ha2n qi4 she1n ru4 le li2n ba4n yu2 ya huo2 za4i duo1 ga1o de shui3 li3 ni3 ha2i shi4 bu4 shui4 za4i jia4n qi1ng ta2i de yi1n shi1 za4i jia4n ga4n ca3o de so1ng rua3n za4i jia4n ni3 ge4 za4i jia3 gu3 xia4 di3 chu1 kua4i sua1n de shi2 to2u la3o he2 sha4ng qia1o pa2n xia4n za4i lv3 xi2ng re2n ya4o shui4 le fa4ng so1ng ta1 de me2i to2u sa4n ka1i zui3 bia1n de we2n jie3 ka1i lia3n sha4ng de jie2 ra4ng jia1n bo2 pi2ng ta1n tui3 jia3o shu1 zha3n
烛 火 什 么 时 候 灭 了 是 他 吹 熄 的,zhu2 huo3 she2n me shi2 ho4u mie4 le shi4 ta1 chui1 xi1 de
他 包 在 无 边 的 夜 的 中 心 像 枚 果 仁 包 在 果 核 里,ta1 ba1o za4i wu2 bia1n de ye4 de zho1ng xi1n xia4ng me2i guo3 re2n ba1o za4i guo3 he2 li3
老 和 尚 敲 着 磐,la3o he2 sha4ng qia1o zhe pa2n
水 上 的 梦 是 漂 浮 的 山 里 的 梦 挣 扎 着 飞 出 去,shui3 sha4ng de me4ng shi4 pia4o fu2 de sha1n li3 de me4ng zhe1ng zha1 zhe fe1i chu1 qu4
他 梦 见 他 对 着 面 壁 直 的 黑 暗 他 自 己 也 变 细 变 长 他 想 超 出 黑 暗 可 是 黑 暗 无 穷 的 高 看 也 看 不 尽 的 高 呀 他 转 了 个 方 向 还 是 这 样 再 转 样 再 转 样 样 样 样 是 壁 直 而 平 黑 暗 他 累 了 像 根 长 线 似 的 落 在 地 上 你 软 点 圆 点 嘛 于 是 黑 暗 成 了 朵 莲 花 他 在 莲 花 的 层 又 层 瓣 子 里 他 多 小 呀 他 找 不 到 自 己 了 他 贴 着 黑 的 莲 花 作 了 次 周 游 丁 莲 花 上 出 现 颗 星 淡 绿 的 如 磷 火 旋 起 旋 灭 余 光 霭 霭 归 于 寂 无 丁 又 声,ta1 me4ng jia4n ta1 dui4 zhe mia4n bi4 zhi2 de he1i a4n ta1 zi4 ji3 ye3 bia4n xi4 bia4n zha3ng ta1 xia3ng cha1o chu1 he1i a4n ke3 shi4 he1i a4n wu2 qio2ng de ga1o ka4n ye3 ka4n bu4 ji3n de ga1o ya ta1 zhua3n le ge4 fa1ng xia4ng ha2i shi4 zhe4 ya4ng za4i zhua3n ya4ng za4i zhua3n ya4ng ya4ng ya4ng ya4ng shi4 bi4 zhi2 e2r pi2ng he1i a4n ta1 le4i le xia4ng ge1n zha3ng xia4n shi4 de luo4 za4i de sha4ng ni3 rua3n dia3n yua2n dia3n ma yu2 shi4 he1i a4n che2ng le duo3 lia2n hua1 ta1 za4i lia2n hua1 de ce2ng yo4u ce2ng ba4n zi li3 ta1 duo1 xia3o ya ta1 zha3o bu4 da4o zi4 ji3 le ta1 tie1 zhe he1i de lia2n hua1 zuo4 le ci4 zho1u yo2u di1ng lia2n hua1 sha4ng chu1 xia4n ke1 xi1ng da4n lv4 de ru2 li2n huo3 xua2n qi3 xua2n mie4 yu2 gua1ng a3i a3i gui1 yu2 ji4 wu2 di1ng yo4u she1ng
那 是 和 尚 在 做 晚 课 声 声 敲 他 的 磐 他 追 随 又 等 待 看 看 到 底 多 久 敲 次 渐 渐 的 和 尚 那 里 敲 声 他 心 里 也 敲 声 不 前 不 后 自 然 应 节 这 会 儿 我 若 是 有 口 磐 我 也 是 个 和 尚 佛 殿 上 盏 像 是 就 要 熄 灭 永 不 熄 灭 的 灯 冉 冉 的 钵 里 的 花 炷 香 香 烟 袅 袅 渐 渐 散 失 可 是 香 气 透 入 了 切 无 往 不 在 他 很 想 去 看 看 和 尚,na4 shi4 he2 sha4ng za4i zuo4 wa3n ke4 she1ng she1ng qia1o ta1 de pa2n ta1 zhui1 sui2 yo4u de3ng da4i ka4n ka4n da4o di3 duo1 jiu3 qia1o ci4 jia4n jia4n de he2 sha4ng na4 li3 qia1o she1ng ta1 xi1n li3 ye3 qia1o she1ng bu4 qia2n bu4 ho4u zi4 ra2n yi1ng jie2 zhe4 hui4 e2r wo3 ruo4 shi4 yo3u ko3u pa2n wo3 ye3 shi4 ge4 he2 sha4ng fu2 dia4n sha4ng zha3n xia4ng shi4 jiu4 ya4o xi1 mie4 yo3ng bu4 xi1 mie4 de de1ng ra3n ra3n de bo1 li3 de hua1 zhu4 xia1ng xia1ng ya1n nia3o nia3o jia4n jia4n sa4n shi1 ke3 shi4 xia1ng qi4 to4u ru4 le qie4 wu2 wa3ng bu4 za4i ta1 he3n xia3ng qu4 ka4n ka4n he2 sha4ng
和 尚 你 想 必 不 寂 寞,he2 sha4ng ni3 xia3ng bi4 bu4 ji4 mo4
客 人 你 说 的 寂 寞 的 意 思 是 疲 倦 你 也 许 还 不 疲 倦,ke4 re2n ni3 shuo1 de ji4 mo4 de yi4 si1 shi4 pi2 jua4n ni3 ye3 xu3 ha2i bu4 pi2 jua4n
客 人 的 手 轻 轻 地 触 到 自 己 的 剑 这 口 剑 他 天 天 握 着 总 觉 得 有 分 生 疏 到 他 好 像 忘 了 它 的 时 候 方 知 道 是 如 何 之 亲 切 剑 呀 不 是 你 属 于 我 我 其 实 是 属 于 你 的 和 尚 你 敲 磐 谁 也 不 能 把 你 的 磬 的 声 音 收 集 起 来 吧 你 的 禅 房 里 住 过 多 少 客 人 我 在 这 里 过 了 我 的 夜 我 过 了 各 色 的 夜 我 这 夜 算 在 所 有 的 夜 的 里 面 还 是 把 它 当 作 各 种 夜 之 外 的 个 夜 呢 好 了 太 阳 出 就 是 白 天 明 天 我 要 走,ke4 re2n de sho3u qi1ng qi1ng de chu4 da4o zi4 ji3 de jia4n zhe4 ko3u jia4n ta1 tia1n tia1n wo4 zhe zo3ng jue2 de2 yo3u fe1n she1ng shu1 da4o ta1 ha3o xia4ng wa4ng le ta1 de shi2 ho4u fa1ng zhi1 da4o shi4 ru2 he2 zhi1 qi1n qie4 jia4n ya bu4 shi4 ni3 shu3 yu2 wo3 wo3 qi2 shi2 shi4 shu3 yu2 ni3 de he2 sha4ng ni3 qia1o pa2n she2i ye3 bu4 ne2ng ba3 ni3 de qi4ng de she1ng yi1n sho1u ji2 qi3 la2i ba ni3 de cha2n fa2ng li3 zhu4 guo4 duo1 sha3o ke4 re2n wo3 za4i zhe4 li3 guo4 le wo3 de ye4 wo3 guo4 le ge4 se4 de ye4 wo3 zhe4 ye4 sua4n za4i suo3 yo3u de ye4 de li3 mia4n ha2i shi4 ba3 ta1 da1ng zuo4 ge4 zho3ng ye4 zhi1 wa4i de ge4 ye4 ne ha3o le ta4i ya2ng chu1 jiu4 shi4 ba2i tia1n mi2ng tia1n wo3 ya4o zo3u
太 阳 晒 着 港 口 把 盐 味 敷 到 坞 边 的 杨 树 的 叶 片 上 海 是 绿 的 腥 的,ta4i ya2ng sha4i zhe ga3ng ko3u ba3 ya2n we4i fu1 da4o wu4 bia1n de ya2ng shu4 de ye4 pia4n sha4ng ha3i shi4 lv4 de xi1ng de
只 不 知 名 的 大 果 子 有 头 颅 那 样 大 正 在 腐 烂,zhi3 bu4 zhi1 mi2ng de da4 guo3 zi yo3u to2u lu2 na4 ya4ng da4 zhe4ng za4i fu3 la4n
贝 壳 在 沙 粒 里 逐 渐 变 成 石 灰,be4i ke2 za4i sha1 li4 li3 zhu2 jia4n bia4n che2ng shi2 hui1
